Node_Index,Grid_Z_m,Coord_Xi,Psi_M_Meso,Psi_W_Wave,Psi_T_Turb
0,50.0,1.0,0.9933071490757152,0.006692850910489849,1.3794994660476512e-11
1,45.632982182230705,0.9951847266721969,0.9655548043337888,0.03444519529031912,3.758920605334559e-10
2,36.199297584108265,0.9807852804032304,0.8411308951190848,0.15886909570185834,9.179056875696645e-9
3,26.997514693877406,0.9569403357322088,0.5,0.49999984704888656,1.5295111344126866e-7
4,19.99583957004198,0.9238795325112867,0.15886910488091516,0.8411295328283915,1.3622906932519996e-6
5,15.075956079010695,0.881921264348355,0.03444519566621118,0.9655465248311376,8.279502651253878e-6
6,11.661776255992525,0.8314696123025452,0.006692850924284843,0.9932620550481802,4.509402753494207e-5
7,9.261214099236742,0.773010453362737,0.0012710162630813482,0.998488977464195,0.0002400062727236918
8,7.536476834832884,0.7071067811865476,0.00024031171281890806,0.998488977464195,0.001270710822986132
9,6.268214231236622,0.6343932841636455,4.539786870244589e-5,0.9932620550481802,0.006692547083117284
10,5.314755974453791,0.5555702330196023,8.574865573707235e-6,0.9655465248311376,0.03444490030328873
11,4.583405602683238,0.4713967368259978,1.6195941692220828e-6,0.8411295328283915,0.15886884757743924
12,4.01230636710325,0.38268343236508984,3.0590222693804847e-7,0.49999984704888656,0.49999984704888656
13,3.5592847403909027,0.29028467725446233,5.777748185442633e-8,0.15886909570185834,0.8411308465206597
14,3.194970887289327,0.19509032201612833,1.0912757253400684e-8,0.03444519529031912,0.9655547937969237
15,2.898497640084069,0.09801714032956077,2.0611536366565986e-9,0.006692850910489849,0.9933071470283564
16,2.654761904761905,6.123233995736766e-17,3.8930164647510423e-10,0.0012710162625865393,0.9987289833481118
17,2.452646244494619,-0.09801714032956065,7.352957132056304e-11,0.00024031171280123803,0.9997596882136691
18,2.2838411136110355,-0.1950903220161282,1.3887946348489777e-11,4.53978687018154e-5,0.9999546021174102
19,2.1420500386468175,-0.29028467725446216,2.623068429130626e-12,8.574865573684743e-6,0.9999914251318033
20,2.0224436336376854,-0.3826834323650897,4.954370247389761e-13,1.6195941692212804e-6,0.9999983804053354
21,1.9212783168811156,-0.4713967368259977,9.35918009759007e-14,3.0590222693801983e-7,0.9999996940976795
22,1.8356259859466102,-0.555570233019602,1.765254609153999e-14,5.777748185442531e-8,0.9999999422225005
23,1.7631797140961005,-0.6343932841636454,3.3306690738754696e-15,1.0912757253400648e-8,0.9999999890872394
24,1.702112376785374,-0.7071067811865475,6.106226635438361e-16,2.0611536366565973e-9,0.9999999979388458
25,1.650972708242018,-0.773010453362737,1.1102230246251565e-16,3.893016464751042e-10,0.9999999996106983
26,1.608608235682897,-0.8314696123025453,0.0,7.352957132056304e-11,0.9999999999264704
27,1.5741078167209426,-0.8819212643483549,0.0,1.3887946348489777e-11,0.999999999986112
28,1.5467587131382026,-0.9238795325112867,0.0,2.623068429130626e-12,0.999999999997377
29,1.5260146462728044,-0.9569403357322088,0.0,4.954370247389761e-13,0.9999999999995046
30,1.5114723342422776,-0.9807852804032304,0.0,9.35918009759007e-14,0.9999999999999064
31,1.502854763598524,-0.9951847266721968,0.0,1.765254609153999e-14,0.9999999999999823
32,1.5,-1.0,0.0,3.3306690738754696e-15,0.9999999999999967
